"WorkoutType","WorkoutDescription","ExerciseDescription","Code","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes"
"Run","Keep it EASY. :)","Custom","Custom","0.333333333333333","","9/1/2016","","2532.14990234375","","",""," *09/01/2016 Emily Harvey: RPE 6-7 Felt decent despite sore legs but arch of my foot was hurting when I stopped running (didn't notice it until I stopped)*","0.333187221950955","2.11100006103516","","82","","","","","","0.779332903406423","21.78","","","","","","","","","","","","","","","","","","","",""
"Swim","-4 x 50 EASY w/plenty of rest -4 x 75 EASY w/plenty of rest- -2 x 100 EASY w/plenty of rest","Custom","Custom","0.333333333333333","640.080017089844","9/2/2016","Take it easy!!!","700","","",""," *09/02/2016 Emily Harvey: RPE 3 Took it easy & still felt harder than my brain thought it should.  So good to be back in the water pretending to be a mermaid again!  Left side felt tight around rib cage and up into my shoulder, but that's not surprising*","0.23811555703481","0.816364611760315","","28","","","","","","0.304445902921095","0.67","","","","","","","","","","","","","","","","","","","",""
"Bike","Just get out and ride or stay indoors on Trainer. EASY pace to promote recovery!","Custom","Custom","0.333333333333333","","9/3/2016","","4779.6201171875","","",""," *09/03/2016 Emily Harvey: RPE 2 Physically easy, mentally still working on gaining confidence*","0.341373596191406","3.88899993896484","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Keep it EASY. :)","Custom","Custom","0.333333333333333","","9/4/2016","","2573.97998046875","","",""," *09/04/2016 Emily Harvey: RPE 6 Feeling less sore, but still takes so much effort to run (even slowly) because my lungs are on the struggle bus*","0.33372304280599","2.14199995994568","","83","","","","","","0.797988445648232","22.9","","","","","","","","","","","","","","","","","","","",""
"Swim","-2 x 100 EASY w/plenty of rest -4 x 75 EASY w/plenty of rest -4 x 50 EASY w/plenty of rest","Custom","Custom","0.333333333333333","640.080017089844","9/5/2016","Take it easy!!!","700","","",""," *09/05/2016 Emily Harvey: RPE 5-6  Took it easy until the last 50 cause I just needed to see what I could do!  Felt good, but I'm tired now!*","0.230229444503784","0.843660135130249","","28","","","","","","0.314874172229655","0.72","","","","","","","","","","","","","","","","","","","",""
"Bike","Just get out and ride or stay indoors on Trainer. EASY pace to promote recovery!","Custom","Custom","0.333333333333333","","9/6/2016","","5208.33984375","","",""," *09/06/2016 Emily Harvey: RPE 2*","0.33487779405382","4.32000017166138","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Keep it EASY. :)","Custom","Custom","0.333333333333333","","9/7/2016","","2849.25","","",""," *09/07/2016 Emily Harvey: RPE 6-8 A teeny bit faster today - left glute sore and lungs struggling but felt good otherwise*","0.350130276150174","2.25999999046326","","84","","","","","","0.843241341155691","26.86","","","","","","","","","","","","","","","","","","","",""
"Swim","-200 EASY w/u -6 x 50 w/ :20RI -8 x 25 MOD effort :20RI","Custom","Custom","0.333333333333333","640.080017089844","9/8/2016","Take it easy!!!","700","","",""," *09/08/2016 Emily Harvey: RPE 4-5 Felt less tight today  :) Hand entry felt sloppy at first but I think I fixed it (at least it felt like I did)*","0.221220554775662","0.878269357683979","","28","","","","","","0.327696971172219","0.78","","","","","","","","","","","","","","","","","","","",""
"Other","","","","","","9/9/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Just get out and ride or stay indoors on Trainer. EASY pace to promote recovery!","Custom","Custom","0.5","","9/9/2016","","7402.9824","","",""," *09/09/2016 Emily Harvey: RPE 2 Got cleared by doc this morning - woohoooooooooooo!!!!!!!!!!!!!*","0.5","4.112768","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Keep it EASY. :)","Custom","Custom","0.666666666666667","","9/10/2016","","5665.60986328125","","",""," *09/10/2016 Emily Harvey: RPE 6-8 pushed my pace quite a bit at the beginning this morning.  Felt good to feel like I could hold the faster pace for a while even though I couldn't hold it the full 40 mins & had to walk a little bit.  I didn't necessarily keep it easy, but man I feel good about this run!*","0.667034708658854","2.35899996757507","","81","","","","","","0.898717513481828","59.1","","","","","","","","","","","","","","","","","","","",""
"Bike","Nice and EASY! Either outside or on Trainer","Custom","Custom","0.75","","9/11/2016","Purpose is build aerobic system by activating slow-twitch muscles and keeping HR down (z1 - z2).","13508.1904296875","","",""," *09/11/2016 Emily Harvey: RPE 2-3  Still on my road bike, but starting to feel a little less squirrelly out there.  Not quite ready to get back on my tri bike or ride the part of the path where the accident happened, but getting closer......  P.S. GO USA!  I was following the live Twitter feed this morning & it was so exciting!!!*","0.766746690538194","4.89400005340576","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
