"WorkoutType","WorkoutDescription","ExerciseDescription","Code","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes"
"Swim","Wear Wetsuit","Custom","Custom","1.5","","4/1/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","4/1/2016","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Endurance","Custom","Custom","1.25","","4/2/2016","","","","","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","I was wrecked from yesterday's run. Had nothing and was dropped.","Custom","Custom","2","","4/3/2016","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","4/3/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","4/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","4/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Either 1 or 2 hour group","Custom","Custom","2","","4/5/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","3 1/2 mile hill repeats held 2:45-2:50 active jog down left on 5 min 4 1/4 mile repeats held 1:20 easy jog down left on 3 min Then did 5 sets of high knees as quick as possible 10sec 50sec recovery to promote turnover.","Custom","Custom","1","","4/5/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1","","4/5/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
